Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,5.536,21.866,101,0.015,86,0,0
0.042,6.101,21.673,110,0.021,85,0,0
0.063,5.649,21.833,103,0.029,85,120,0
0.084,5.536,21.769,100,0.038,85,120,0
0.105,5.988,21.833,109,0.044,85,120,0
0.126,5.649,21.963,103,0.052,85,121,0
0.147,6.101,22.029,112,0.061,86,121,0
0.168,6.214,22.397,116,0.067,87,121,0
0.189,5.762,22.884,110,0.075,89,121,0
0.21,5.875,22.849,112,0.084,89,121,0
0.231,5.875,22.569,110,0.092,88,122,0
0.252,5.536,22.466,104,0.101,88,122,0
0.273,5.649,22.162,104,0.107,87,122,0
0.294,6.327,22.363,118,0.115,87,122,0
0.315,5.649,22.708,107,0.124,88,122,0
0.336,5.875,22.884,112,0.132,89,123,0
0.357,5.988,22.92,114,0.14,89,124,0
0.378,5.762,22.849,110,0.147,89,125,0
0.399,5.31,22.569,100,0.155,88,125,0
0.42,5.536,22.296,103,0.163,87,125,0
0.441,5.762,22.062,106,0.17,86,125,0
0.462,5.649,22.262,105,0.178,87,124,0
0.483,5.649,22.5,106,0.187,87,124,0
0.504,5.649,22.195,104,0.195,87,123,0
0.525,5.423,22.363,101,0.201,87,123,0
0.546,5.649,22.162,104,0.21,87,122,0
0.567,5.649,22.128,104,0.218,86,122,0
0.588,5.423,22.095,100,0.224,86,121,0
0.609,5.988,22.162,111,0.233,86,121,0
0.63,5.31,22.162,98,0.241,86,121,0
0.651,5.423,22.062,100,0.249,86,122,0
0.672,5.875,22.128,108,0.256,86,122,0
0.693,5.084,22.262,94,0.264,87,122,0
0.714,5.762,22.162,106,0.272,86,121,0
0.735,5.536,21.996,101,0.279,86,122,0
0.756,5.31,22.229,98,0.287,86,122,0
0.777,5.988,22.363,112,0.296,87,122,0
0.798,5.536,22.673,105,0.304,88,122,0
0.819,5.31,22.569,100,0.31,88,122,0
0.84,5.649,22.5,106,0.319,88,122,0
0.861,5.762,22.466,108,0.327,88,122,0
0.882,5.423,22.569,102,0.335,88,122,0
0.903,5.423,22.638,102,0.342,88,121,0
