Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
0.0167667,0,0,0,0,0,0,0,0,
0.03345,0,0,0,0,0,0,0,0,
0.0501,0,0,0,0,0,0,0,0,
0.0667833,0,0,1041,0,446,0,0,0,
0.0834333,0,0,0,0,0,0,0,0,
0.100083,0,0,0,0,0,82,0,0,
0.116783,0,0,1041,0,446,82,0,0,
0.133433,0,0,1041,0,446,82,0,0,
0.1501,0,8.568,0,0.001904,0,82,0,0,
0.16675,0,8.568,108,0.004284,0,82,0,0,
0.183433,0,8.568,108,0.006664,0,83,0,0,
0.2001,0,8.568,0,0.009044,0,84,0,0,
0.216767,0,8.568,0,0.011424,0,84,0,0,
0.233433,0,8.568,108,0.013804,0,85,0,0,
0.250083,0,8.568,108,0.016184,0,86,0,0,
0.266767,0,0.252,1,0.017178,1553,87,0,0,
0.283433,0,0.252,147,0.017248,53,87,0,0,
0.300083,0,0.252,120,0.017318,67,87,0,0,
0.316767,0,8.82,99,0.018816,70,88,0,0,
0.333433,0,8.82,104,0.021266,70,88,0,0,
0.3501,0,9.072,106,0.023716,72,88,0,0,
0.366767,0,9.072,106,0.026236,72,89,0,0,
0.383417,0,9.198,118,0.028777,72,89,0,0,
0.400067,0,9.324,114,0.031353,74,89,0,0,
0.416733,0,9.324,110,0.033943,74,88,0,0,
0.433417,0,9.45,110,0.03654,75,88,0,0,
0.450083,0,9.45,111,0.039165,74,88,0,0,
0.46675,0,9.324,109,0.041769,74,88,0,0,
0.483433,0,9.324,109,0.044359,74,88,0,0,
0.5001,0,9.45,112,0.046956,75,87,0,0,
0.516767,0,9.45,109,0.049581,75,87,0,0,
0.533417,0,9.45,111,0.052206,75,88,0,0,
0.550083,0,9.45,111,0.054831,75,89,0,0,
0.56675,0,9.45,104,0.057456,75,90,0,0,
0.583417,0,9.45,114,0.060081,75,91,0,0,
0.600067,0,9.45,108,0.062706,75,92,0,0,
0.61675,0,9.45,102,0.065331,75,92,0,0,
0.633417,0,9.45,114,0.067956,75,93,0,0,
0.650083,0,9.576,111,0.070602,76,93,0,0,
0.66675,0,9.576,111,0.073262,76,94,0,0,
0.683417,0,9.702,111,0.075922,77,94,0,0,
0.700083,0,9.702,106,0.078617,77,94,0,0,
0.71675,0,9.702,105,0.081312,75,94,0,0,
0.733417,0,9.576,109,0.083951,75,94,0,0,
0.750067,0,9.576,109,0.086611,75,94,0,0,
0.76675,0,9.576,111,0.089271,76,94,0,0,
0.783417,0,9.45,100,0.09191,75,94,0,0,
0.800067,0,9.576,112,0.094535,76,94,0,0,
0.816733,0,9.576,105,0.097195,76,94,0,0,
0.833417,0,9.576,105,0.099855,76,94,0,0,
0.850083,0,9.576,96,0.102515,75,95,0,0,
0.866733,0,9.576,96,0.105175,75,95,0,0,
0.883383,0,9.324,110,0.107807,74,95,0,0,
0.90005,0,9.198,85,0.110376,73,95,0,0,
0.916733,0,8.82,95,0.112868,69,95,0,0,
0.9334,0,8.694,95,0.11529,69,95,0,0,
0.950067,0,9.072,102,0.117705,71,96,0,0,
0.966733,0,9.072,96,0.120225,72,96,0,0,
0.9834,0,9.072,96,0.122745,72,96,0,0,
1.00007,0,8.82,94,0.125223,70,98,0,0,
1.01673,0,8.82,95,0.127673,70,98,0,0,
1.0334,0,8.82,97,0.130123,70,99,0,0,
1.05005,0,9.198,112,0.132573,73,100,0,0,
1.06673,0,9.45,120,0.135156,75,100,0,0,
1.0834,0,9.702,112,0.137823,78,101,0,0,
